DATE,GDP,GDPDEF,HOANBS,PNFI,PCE,CNP16OV,ford_tfp,dtfp_util,GDPpc,PCEpc,PNFIpc,HOANBSpc,LABOR_PROD
1961Q2,555.545,16.778,51.113,56.198,339.46666666666664,118636.0,1.78546889539297,2.4585411037748575,-818.3934151326349,-867.650800665078,-1047.5002596148072,-765.4934091723969,-43.415775851037196
1961Q3,567.664,16.821,51.415,56.712,342.3666666666666,119000.66666666667,-0.680549076087853,2.5206185178641105,-816.7982785737454,-867.3630192624867,-1047.1526651575798,-764.8898545766154,-42.10283700997382
1961Q4,580.612,16.874,52.066,58.473,349.59999999999997,119189.66666666667,0.359194536536681,-3.2719834515661486,-815.0162596909935,-865.7455672779697,-1044.5680207326466,-761.990623158303,-41.420340065048386
1962Q1,594.013,16.961,52.259,59.656,354.8666666666666,119378.66666666667,-0.388394758914177,3.804860748477945,-813.4071179088261,-864.9230251662759,-1043.2377653491815,-760.1461062602111,-40.02275110602821
1962Q2,600.366,16.989,52.88,61.356,360.4666666666667,119819.33333333333,0.433289912401306,-1.6430271403822503,-812.8766938279035,-863.8906919241012,-1040.9613441634945,-757.7047365835167,-40.30518021014365
1962Q3,609.027,17.024,52.772,62.101,364.3666666666666,120368.0,1.10995459528069,4.847565682217803,-812.1070507256736,-863.4772422327558,-1040.4171017089875,-756.9546903930641,-38.87422584782635
1962Q4,612.28,17.059,52.448,61.819,370.59999999999997,121045.66666666667,1.34189353531684,4.63840695291648,-812.3411393320657,-862.5477773692905,-1041.639032696585,-757.9712403267467,-37.93104320362953
1963Q1,621.672,17.134,52.764,61.973,374.26666666666665,121640.0,0.02674460921522,-0.6248056220509879,-811.7473312871675,-862.4917379513536,-1042.3187129009668,-758.2122335467816,-37.44813110670477
1963Q2,629.752,17.164,53.101,63.883,378.43333333333334,122166.66666666667,-0.031140854230798,0.27844704207335,-811.0629587678897,-861.9915755267634,-1039.89023934702,-755.6088226340922,-36.968383650044366
1963Q3,644.444,17.187,53.245,65.712,385.40000000000003,122669.66666666667,1.3322144768049,5.655009792959893,-809.3015739257311,-860.7121912819925,-1037.612211158599,-753.1968827491439,-35.06692580190166
1963Q4,653.938,17.326,53.661,67.669,390.0333333333333,123188.66666666667,-0.241565839982054,-0.29477423925429125,-809.0668052236014,-860.7448392419249,-1035.905242543827,-750.6844161970321,-35.18821984071298
1964Q1,669.822,17.381,54.772,69.113,399.59999999999997,123708.0,1.42327436842889,5.622853865387089,-807.4044879019469,-859.0592837691329,-1034.5314038246547,-748.9936382665204,-35.15447646050718
